X,CH1,
Second,Volt,
1.9000001e-03,-7.40000e-01,
1.9100001e-03,-6.00000e-01,
1.9200002e-03,-6.00000e-01,
1.9300001e-03,-5.00000e-01,
1.9400001e-03,-5.00000e-01,
1.9500002e-03,-3.80000e-01,
1.9600000e-03,-3.20000e-01,
1.9700001e-03,-1.60000e-01,
1.9800002e-03,-1.60000e-01,
1.9900000e-03,-2.00000e-02,
2.0000001e-03,-2.00000e-02,
2.0100002e-03,1.20000e-01,
2.0200002e-03,1.60000e-01,
2.0300001e-03,3.20000e-01,
2.0400002e-03,3.00000e-01,
2.0500002e-03,4.20000e-01,
2.0600001e-03,4.40000e-01,
2.0700002e-03,5.40000e-01,
2.0800002e-03,5.80000e-01,
2.0900001e-03,7.20000e-01,
2.1000002e-03,7.20000e-01,
2.1100002e-03,8.00000e-01,
2.1200001e-03,7.80000e-01,
2.1300002e-03,9.00000e-01,
2.1400002e-03,9.20000e-01,
2.1500001e-03,1.02000e+00,
2.1600001e-03,1.02000e+00,
2.1700002e-03,1.08000e+00,
2.1800001e-03,1.08000e+00,
2.1900001e-03,1.14000e+00,
2.2000002e-03,1.14000e+00,
2.2100001e-03,1.18000e+00,
2.2200001e-03,1.18000e+00,
2.2300002e-03,1.14000e+00,
2.2400001e-03,1.18000e+00,
2.2500001e-03,1.16000e+00,
2.2600002e-03,1.16000e+00,
2.2700001e-03,1.14000e+00,
2.2800001e-03,1.14000e+00,
2.2900002e-03,1.08000e+00,
2.3000001e-03,1.10000e+00,
2.3100001e-03,1.04000e+00,
2.3200002e-03,1.02000e+00,
2.3300000e-03,8.80000e-01,
2.3400001e-03,9.20000e-01,
2.3500002e-03,8.20000e-01,
2.3600000e-03,8.40000e-01,
2.3700001e-03,7.20000e-01,
2.3800002e-03,7.20000e-01,
2.3900003e-03,5.80000e-01,
2.4000001e-03,5.80000e-01,
2.4100002e-03,4.80000e-01,
2.4200003e-03,4.80000e-01,
2.4300001e-03,3.40000e-01,
2.4400002e-03,3.20000e-01,
2.4500003e-03,1.40000e-01,
2.4600001e-03,1.40000e-01,
2.4700002e-03,0.00000e+00,
2.4800003e-03,2.00000e-02,
2.4900001e-03,-8.00000e-02,
2.5000002e-03,-1.40000e-01,
2.5100003e-03,-3.20000e-01,
2.5200001e-03,-3.00000e-01,
2.5300002e-03,-4.60000e-01,
2.5400002e-03,-4.60000e-01,
2.5500001e-03,-5.80000e-01,
2.5600002e-03,-6.20000e-01,
2.5700002e-03,-7.80000e-01,
2.5800001e-03,-7.40000e-01,
2.5900002e-03,-8.40000e-01,
2.6000002e-03,-8.20000e-01,
2.6100001e-03,-9.40000e-01,
2.6200002e-03,-9.80000e-01,
2.6300002e-03,-1.08000e+00,
2.6400001e-03,-1.08000e+00,
2.6500002e-03,-1.18000e+00,
2.6600002e-03,-1.16000e+00,
2.6700001e-03,-1.24000e+00,
2.6800002e-03,-1.24000e+00,
2.6900002e-03,-1.30000e+00,
2.7000001e-03,-1.28000e+00,
2.7100001e-03,-1.32000e+00,
2.7200002e-03,-1.32000e+00,
2.7300001e-03,-1.34000e+00,
2.7400001e-03,-1.32000e+00,
2.7500002e-03,-1.34000e+00,
2.7600003e-03,-1.32000e+00,
2.7700001e-03,-1.30000e+00,
2.7800002e-03,-1.30000e+00,
2.7900003e-03,-1.26000e+00,
2.8000001e-03,-1.26000e+00,
2.8100002e-03,-1.18000e+00,
2.8200003e-03,-1.18000e+00,
2.8300001e-03,-1.08000e+00,
2.8400002e-03,-1.10000e+00,
2.8500003e-03,-1.00000e+00,
2.8600001e-03,-9.60000e-01,
2.8700002e-03,-8.60000e-01,
2.8800003e-03,-8.60000e-01,
2.8900001e-03,-7.60000e-01,
2.9000002e-03,-7.80000e-01,
2.9100003e-03,-6.60000e-01,
2.9200001e-03,-6.20000e-01,
2.9300002e-03,-4.40000e-01,
2.9400003e-03,-4.60000e-01,
2.9500001e-03,-3.20000e-01,
2.9600002e-03,-3.40000e-01,
2.9700003e-03,-2.40000e-01,
2.9800001e-03,-1.80000e-01,
2.9900002e-03,2.00000e-02,
